activity_id,source,target,weight,type,year_start,year_end,original_value,source_url,notes,actor_category,era,impact,directness,scale,duration
SB_ROADS_01,Shikun & Binui Group,Roads & Earthworks for Settlement Expansion,0.8265,infrastructure_support,1924,1948,"Solel Boneh built roads, housing, and utilities in Mandate Palestine and the Negev, laying groundwork for later settlement and ecological impact.",https://www.whoprofits.org/companies/company/3990,Foundational infrastructure provider in Mandate era,utility_infrastructure,British Mandate (1917–1948),land_fragmentation,0.9,0.7,1.0
SB_SETTLE_01,Shikun & Binui Group,Settlement Construction & Expansion,0.9215,infrastructure_support,1967,1993,"Built settlement housing and arterial roads (e.g., Ma'ale Adumim, Ariel, Modi'in Illit; Road 60/90) consolidating Israeli control and fragmenting ecosystems.",https://www.whoprofits.org/companies/company/3990,Major builder for settlements and roads,utility_infrastructure,Occupation & Settlement Expansion (1967–1993),land_fragmentation,1.0,0.9,1.0
SB_SETTLE_01,Shikun & Binui Group,Settlement Construction & Expansion,0.9215,infrastructure_support,1993,2000,"Continued large projects through Oslo era, expanding road and housing links that entrenched settlement blocs.",https://www.whoprofits.org/companies/company/3990,Continuity of settlement expansion into Oslo period,utility_infrastructure,Oslo Accords & Territorial Fragmentation (1993–2000),land_fragmentation,1.0,0.9,1.0
SB_JLR_01,Shikun & Binui Group,Jerusalem Light Rail Expansion,0.8835,infrastructure_support,2019,2023,"Constructed Green Line sections connecting Israeli settlement neighborhoods across East Jerusalem, expropriating Palestinian land.",https://www.whoprofits.org/companies/company/3990,Rail work intensifying spatial fragmentation,utility_infrastructure,Gaza Blockade & Slow Violence (2007–2023),land_fragmentation,0.9,0.9,1.0
SB_JLR_01,Shikun & Binui Group,Jerusalem Light Rail Expansion,0.8835,infrastructure_support,2023,2025,Ongoing Green Line construction linking settlement blocs during and after 2023 escalation.,https://www.whoprofits.org/companies/company/3990,Continuation of JLR expansion post-2023,utility_infrastructure,2023–Present: Acute Ecological Destruction,land_fragmentation,0.9,0.9,1.0
SB_MIL_01,Shikun & Binui Group,Military Bases & Security Walls,0.95,military_infrastructure,2018,2023,"Built IMOD ICT campus (2018), Intelligence campus (2020), and Gaza technological barrier segments (2019) via PPP contracts.",https://www.whoprofits.org/companies/company/3990,Privatized military infrastructure buildout,utility_infrastructure,Gaza Blockade & Slow Violence (2007–2023),infrastructure_expansion,1.0,1.0,1.0
SB_MIL_01,Shikun & Binui Group,Military Bases & Security Walls,0.95,military_infrastructure,2023,2025,Continued IMOD base relocation and barrier projects under multi-year concessions.,https://www.whoprofits.org/companies/company/3990,Long-horizon military infrastructure commitments,utility_infrastructure,2023–Present: Acute Ecological Destruction,infrastructure_expansion,1.0,1.0,1.0
SB_POLICE_01,Shikun & Binui Group,Police Training Center (Policity),0.8265,institutional_support,2011,2023,"Built and co-operates Israel Police national training center under 25-year PPP, reinforcing coercive capacity.",https://www.whoprofits.org/companies/company/3990,PPP policing hub supporting repression,utility_infrastructure,Gaza Blockade & Slow Violence (2007–2023),institutional_control,0.8,0.9,0.9
SB_POLICE_01,Shikun & Binui Group,Police Training Center (Policity),0.8265,institutional_support,2023,2025,Ongoing PPP operation of national police training complex.,https://www.whoprofits.org/companies/company/3990,Operational continuity post-2023,utility_infrastructure,2023–Present: Acute Ecological Destruction,institutional_control,0.8,0.9,0.9
SB_ENERGY_01,Shikun & Binui Group,Renewable Energy on Occupied Lands,0.76,land_confiscation,2018,2023,"Solar farms and energy parks in Naqab, Syrian Golan, and West Bank on confiscated land displacing Palestinians and Bedouins.",https://www.whoprofits.org/companies/company/3990,Green-framed land grabs on occupied/contested land,utility_infrastructure,Gaza Blockade & Slow Violence (2007–2023),land_confiscation,0.7,0.8,0.9
SB_ENERGY_01,Shikun & Binui Group,Renewable Energy on Occupied Lands,0.76,land_confiscation,2023,2025,Continuation of solar and industrial energy projects on expropriated lands.,https://www.whoprofits.org/companies/company/3990,Expansion under current escalation,utility_infrastructure,2023–Present: Acute Ecological Destruction,land_confiscation,0.7,0.8,0.9
SB_RHOVAV_01,Shikun & Binui Group,Hazardous Industrial Projects (Ramat Hovav),0.855,industrial_pollution,2020,2023,"Owns/operates power plant in Neot Hovav toxic industrial zone next to Wadi Naam, posing health and ecological risks.",https://www.whoprofits.org/companies/company/3990,Industrial expansion with toxic exposure risks,utility_infrastructure,Gaza Blockade & Slow Violence (2007–2023),pollution,0.9,0.9,0.9
SB_RHOVAV_01,Shikun & Binui Group,Hazardous Industrial Projects (Ramat Hovav),0.855,industrial_pollution,2023,2025,Ongoing operation of power and industrial assets in Neot Hovav near Bedouin communities.,https://www.whoprofits.org/companies/company/3990,Persistent toxic risk post-2023,utility_infrastructure,2023–Present: Acute Ecological Destruction,pollution,0.9,0.9,0.9
CISCO_UCOMM_01,Cisco Systems,Military Unified Communications,0.8835,digital_control,2020,2023,"Provision of IP-based Unified Communications (voice, video, data) systems to Israeli military units, centralizing networks and accelerating response times.",https://www.whoprofits.org/companies/company/6529?cisco-systems,Digital backbone for military coordination and surveillance,tech_corporation,Gaza Blockade & Slow Violence (2007–2023),digital_control,0.9,0.9,1.0
CISCO_DCITADEL_01,Cisco Systems,David's Citadel ICT Data Center,0.9215,military_infrastructure,2018,2020,"Networking, cybersecurity, and load-balancing systems integrated into Israel’s underground Naqab ICT military data center ('David’s Citadel'), centralizing many surveillance and intelligence systems.",https://www.whoprofits.org/companies/company/6529?cisco-systems,Critical ICT hub for long-term military consolidation in the Naqab,tech_corporation,Gaza Blockade & Slow Violence (2007–2023),infrastructure_expansion,1.0,0.9,1.0
CISCO_RISES_01,Cisco Systems,Israel Rises Platform,0.8265,digital_control,2023,2023,Supported development of the 'Israel Rises' digital platform for the Home Front Command during the October 2023 offensive in Gaza.,https://www.whoprofits.org/companies/company/6529?cisco-systems,Civil–military platform used during the 2023 assault,tech_corporation,2023–Present: Acute Ecological Destruction,digital_control,0.9,0.8,0.9
CISCO_SERVERS_01,Cisco Systems,Servers for Israeli Military,0.8265,military_infrastructure,2017,2020,Won tender to supply high-capacity servers (NIS ~1 billion) to the Israeli military; servers integrated by a local contractor and funded via US aid.,https://www.whoprofits.org/companies/company/6529?cisco-systems,High-capacity servers powering military surveillance and operational data,tech_corporation,Gaza Blockade & Slow Violence (2007–2023),infrastructure_expansion,0.9,0.8,0.9
